Tournament,Timestamp Link,Team A,Team B,Timestamp,Posteam,Defteam,Event Type,IsFlash,Turnover Cause,Turnover Details,Off Bludgers,Def Bludgers,Scorer,Goal Type,Goal Location,Active Defenders,Shot Distance,Shot Location,Card,OffChasers,OffBeaters,OffSeeker,DefChasers,DefBeaters,DefSeeker,PlayerBeat,ActiveBeater
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=616s,UT,UTSA,00:10:16,,,Game Start,,,,,,,,,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=619s,UT,UTSA,00:10:19,UTSA,UT,Possession Change,,Game Start,,1,2,,,,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=641s,UT,UTSA,00:10:41,UTSA,UT,Goal Scored,,,,2,0,14,Dunk,Medium,"P. Mosqueda, A. Hewitt",,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=650s,UT,UTSA,00:10:50,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,,,A. Hewitt,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=679s,UT,UTSA,00:11:19,UTSA,UT,Possession Change,,Ballcarrier Beat,"Bad selection, good execution",2,0,,,,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=693s,UT,UTSA,00:11:33,UTSA,UT,Goal Scored,,,,2,1,12,Shot,Top,"P. Mosqueda, I. Sueltenfuss",Medium,Front,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=699s,UT,UTSA,00:11:39,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=740s,UT,UTSA,00:12:20,UTSA,UT,Possession Change,,Needless contact,"Bad selection, good execution",2,0,,,,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=751s,UT,UTSA,00:12:31,UTSA,UT,Goal Scored,,,,2,0,14,Dunk,Medium,"P. Mosqueda, I. Sueltenfuss",,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=757s,UT,UTSA,00:12:37,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=794s,UT,UTSA,00:13:14,UTSA,UT,Possession Change,TRUE,Missed Shot,Bad shot from I. Sueltenfuss,1,1,,,,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=796s,UT,UTSA,00:13:16,UTSA,UT,Goal Scored,TRUE,,,2,1,,Shot,Small,None,Point-blank,Front,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=801s,UT,UTSA,00:13:21,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, I. Sueltenfuss","N. Salinas, S. Pemberton",,,,,,
